Season-Episode,painting_title,colors,color_hex,youtube_src
S10E12,Winter Frost,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Midnight Black | Phthalo Blue | Prussian Blue | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #000000 | #0C0040 | #021E44 | #FFFFFF | #221B15,https://www.youtube.com/embed/8satX-hLkuI
S10E13,Lakeside Cabin,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/1l_TsfCIb_I
S11E01,Mountain Stream,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/xdFCj6BzQio
S11E02,Country Cabin,Alizarin Crimson | Bright Red | Dark Sienna | Midnight Black | Prussian Blue | Titanium White | Van Dyke Brown,#4E1500 | #DB0000 | #5F2E1F | #000000 | #021E44 | #FFFFFF | #221B15,https://www.youtube.com/embed/Dkww2nHpuZw
S11E03,Daisy Delight,Alizarin Crimson | Cadmium Yellow | Dark Sienna | Liquid Clear | Midnight Black | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #FFEC00 | #5F2E1F | #FFFFFF | #000000 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/HuHC1RqtvDA
S11E04,Hidden Stream,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/JGzTg8fCj4w
S11E05,Towering Glacier,Alizarin Crimson | Black Gesso | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #000000 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/67vdGbA3Xkg
S11E06,Oval Barn,Bright Red | Dark Sienna | Midnight Black | Prussian Blue | Titanium White | Van Dyke Brown,#DB0000 | #5F2E1F | #000000 | #021E44 | #FFFFFF | #221B15,https://www.youtube.com/embed/HqBhCibidNM
S11E07,Lakeside Path,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Prussian Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #021E44 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/1yjGoJokbZg
S11E08,Sunset Oval,Alizarin Crimson | Bright Red | Cadmium Yellow | Dark Sienna | Indian Yellow | Midnight Black | Phthalo Blue | Sap Green | Titanium White | Van Dyke Brown | Yellow Ochre,#4E1500 | #DB0000 | #FFEC00 | #5F2E1F | #FFB800 | #000000 | #0C0040 | #0A3410 | #FFFFFF | #221B15 | #C79B00,https://www.youtube.com/embed/9xG6IzcGotI
