Season-Episode,title,air_date,youtube_src
S06E07,Arctic Beauty,1985-06-12,https://www.youtube.com/embed/UQ-RTZCOQn0
S06E08,Horizons West,1985-06-19,https://www.youtube.com/embed/m6UM-rN2D6s
S06E09,High Chateau,1985-06-26,https://www.youtube.com/embed/dafH8ks9Zww
S06E10,Country Life,1985-07-02,https://www.youtube.com/embed/j8Jf7QVKLgQ
S06E11,Western Expanse,1985-07-09,https://www.youtube.com/embed/MTInkV5ODjk
S06E12,Marshlands,1985-07-16,https://www.youtube.com/embed/Ugiwi8uizpg
S06E13,Blaze of Color,1985-07-23,https://www.youtube.com/embed/se7wOprxRGs
S07E01,Winter Cabin,1985-10-02,https://www.youtube.com/embed/kdlHV6ceI_gw
S07E02,Secluded Lake,1985-10-09,https://www.youtube.com/embed/2OxSJcFvpoU
S07E03,Evergreen at Sunset,1985-10-16,https://www.youtube.com/embed/YQPEy3hYGo8
S07E04,Mountain Cabin,1985-10-23,https://www.youtube.com/embed/E3IAMvO8GyM
S07E05,Portrait of Sally,1985-10-30,https://www.youtube.com/embed/MHJB0IBnuD4
S07E06,Misty Waterfall,1985-11-06,https://www.youtube.com/embed/530_cVmexiI
S07E07,Barn at Sunset,1985-11-13,https://www.youtube.com/embed/WT6n0K2zGnA
S07E08,Mountain Splendor,1985-11-20,https://www.youtube.com/embed/GhOGZMpPUSE
S07E09,Lake by Mountain,1985-11-27,https://www.youtube.com/embed/yAiYirlcq7o
S07E10,Mountain Glory,1985-12-06,https://www.youtube.com/embed/0M9pwLHRR2c
S07E11,Grey Winter,1985-12-13,https://www.youtube.com/embed/sS-hNYgDUak
S07E12,Dock Scene,1985-12-20,https://www.youtube.com/embed/4KYxkqlzyqM
S07E13,Dark Waterfall,1985-12-27,https://www.youtube.com/embed/VqMbL00eZqw
S08E01,Misty Rolling Hills,1986-01-02,https://www.youtube.com/embed/cC5ozePVKGI
S08E02,Lakeside Cabin,1986-01-09,https://www.youtube.com/embed/CP6_5cQVZvQ
S08E03,Warm Winter Day,1986-01-16,https://www.youtube.com/embed/mUJoNLWQ1yI
S08E04,Waterside Way,1986-01-23,https://www.youtube.com/embed/uj5FE70BcB0
S08E05,Hunter's Haven,1986-01-30,https://www.youtube.com/embed/Da4SPyh1ATM
S08E06,Bubbling Mountain Brook,1986-02-06,https://www.youtube.com/embed/U2_SKgM3f4A
S08E07,Winter Hideaway,1986-02-13,https://www.youtube.com/embed/19oz9XHZNzA
S08E08,Foot of the Mountain,1986-02-20,https://www.youtube.com/embed/cIUBUc_ITBc
S08E09,Majestic Pine,1986-02-27,https://www.youtube.com/embed/x5CoQj9zr-c
S08E10,Cactus at Sunset,1986-03-06,https://www.youtube.com/embed/XBqD3QhKU24
S08E11,Mountain Range,1986-03-13,https://www.youtube.com/embed/V_l6olF3yHI
S08E12,Lonely Retreat,1986-03-20,https://www.youtube.com/embed/qTDQt_PdlYc
S08E13,Northern Lights,1986-03-27,https://www.youtube.com/embed/vgbMONXc9Cs
S09E01,Winter Evergreens,1986-04-30,https://www.youtube.com/embed/O6L5YPt9CeU
S09E02,Surf's Up,1986-05-07,https://www.youtube.com/embed/ZKxFvyyOBPQ
